step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,325689.45,C1234567,2100000.00,1774310.55,M9876543,500000.00,825689.45,0,1
1,CASH_OUT,150000.00,C2345678,800000.00,650000.00,C3456789,1200000.00,1350000.00,0,0
2,PAYMENT,45230.10,C3456789,650000.00,604769.90,M1111111,300000.00,345230.10,0,0
2,TRANSFER,5000000.00,C4567890,10000000.00,5000000.00,C5678901,2000000.00,7000000.00,1,1
3,CASH_IN,25000.00,C5678901,500000.00,525000.00,M2222222,100000.00,125000.00,0,0
3,DEBIT,85000.00,C6789012,400000.00,315000.00,C7890123,600000.00,685000.00,0,0
4,CASH_OUT,3250000.00,C7890123,5000000.00,1750000.00,C8901234,1500000.00,4750000.00,1,0
4,PAYMENT,12000.50,C8901234,1750000.00,1738799.50,M3333333,750000.00,762000.50,0,0
5,TRANSFER,750000.00,C9012345,2500000.00,1750000.00,C0123456,900000.00,1650000.00,0,1
5,CASH_IN,5000.00,C0123456,1650000.00,1655000.00,M4444444,200000.00,205000.00,0,0
6,TRANSFER,4500000.00,C1122334,8000000.00,3500000.00,C2233445,3000000.00,7500000.00,1,1
6,PAYMENT,67890.25,C2233445,7500000.00,7432109.75,M5555555,180000.00,247890.25,0,0
